,title,network,imdb_rating,num_imdb_ratings,rt_critic_rating,rt_audience_rating,genres,tv_rating,release_year,runtime_mins,imdb_url
170,Line of Duty,Acorn TV,8.6,26793,97.0,95.0,"['crime', 'drama', 'mystery', 'thriller']",unrated,2012.0,60.0,https://www.imdb.com/title/tt2303687/
171,Friday Night Lights,NBC,8.6,53371,97.0,93.0,"['drama', 'sport']",TV-14,2006.0,44.0,https://www.imdb.com/title/tt0758745/
172,Young Justice,Cartoon Network (Season 1-2) DC Universe (Season 3-),8.6,29599,95.0,93.0,"['animation', 'action', 'adventure', 'crime', 'romance', 'sci-fi']",TV-PG,2010.0,23.0,https://www.imdb.com/title/tt1641384/
173,Code Geass: Lelouch of the Rebellion,Cartoon Network,8.6,44570,100.0,,"['animation', 'action', 'drama', 'mystery', 'sci-fi', 'thriller', 'war']",TV-14,2006.0,24.0,https://www.imdb.com/title/tt0994314/
174,Dexter,Showtime,8.6,619651,72.0,80.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2006.0,53.0,https://www.imdb.com/title/tt0773262/
175,Blackadder the Third,BBC One,8.6,39217,83.0,,['comedy'],TV-PG,1987.0,18.0,https://www.imdb.com/title/tt0092324/
176,Daredevil,Netflix,8.6,345721,92.0,92.0,"['action', 'crime', 'drama', 'fantasy', 'sci-fi', 'thriller']",TV-MA,2015.0,54.0,https://www.imdb.com/title/tt3322312/
177,QI,BBC One,8.6,28638,100.0,,"['comedy', 'game-show']",TV-PG,2003.0,30.0,https://www.imdb.com/title/tt0380136/
178,Through the Wormhole,Science,8.6,16324,100.0,,['documentary'],TV-PG,2010.0,60.0,https://www.imdb.com/title/tt1513168/
179,Mindhunter,Netflix,8.6,183355,97.0,95.0,"['crime', 'drama', 'thriller']",TV-MA,2017.0,60.0,https://www.imdb.com/title/tt5290382/
180,Making a Murderer,Netflix,8.6,82072,84.0,98.0,"['documentary', 'crime']",TV-14,2015.0,60.0,https://www.imdb.com/title/tt5189670/
181,Peep Show,Channel Four,8.6,49377,96.0,93.0,['comedy'],TV-MA,2003.0,25.0,https://www.imdb.com/title/tt0387764/
182,The Eric Andre Show,Cartoon Network,8.6,10945,88.0,,"['comedy', 'talk-show']",TV-MA,2012.0,11.0,https://www.imdb.com/title/tt2244495/
183,Father Ted,Channel 4,8.6,34750,93.0,100.0,['comedy'],TV-14,1995.0,25.0,https://www.imdb.com/title/tt0111958/
184,Sacred Games,Netflix,8.6,65258,92.0,84.0,"['action', 'crime', 'drama', 'thriller']",TV-MA,2018.0,50.0,https://www.imdb.com/title/tt6077448/
185,Formula 1: Drive to Survive,Netflix,8.5,12609,79.0,,"['documentary', 'sport']",TV-MA,2019.0,40.0,https://www.imdb.com/title/tt8289930/
186,The Newsroom,HBO,8.5,99716,59.0,89.0,['drama'],TV-MA,2012.0,55.0,https://www.imdb.com/title/tt1870479/
187,Spaced,Channel 4,8.5,48126,100.0,95.0,"['action', 'comedy']",TV-14,1999.0,25.0,https://www.imdb.com/title/tt0187664/
188,Yes Minister,BBC Two,8.5,11685,100.0,,['comedy'],TV-PG,1980.0,30.0,https://www.imdb.com/title/tt0080306/
189,Umbre,HBO,8.5,7812,50.0,,"['crime', 'drama', 'thriller']",unrated,2014.0,45.0,https://www.imdb.com/title/tt4269716/
190,Skam,WEB TV US,8.5,25648,92.0,,"['drama', 'romance']",unrated,2015.0,30.0,https://www.imdb.com/title/tt5288312/
191,Fullmetal Alchemist,Cartoon Network,8.5,58287,94.0,,"['animation', 'action', 'adventure', 'comedy', 'drama', 'fantasy', 'sci-fi']",TV-PG,2003.0,24.0,https://www.imdb.com/title/tt0421357/
192,Justified,FX,8.5,81215,97.0,95.0,"['action', 'crime', 'drama', 'mystery', 'thriller', 'western']",TV-MA,2010.0,44.0,https://www.imdb.com/title/tt1489428/
193,Dragon Ball,Fuji TV,8.5,44161,72.0,,"['animation', 'action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'thriller']",TV-Y7,1986.0,24.0,https://www.imdb.com/title/tt0088509/
194,"Love, Death & Robots",Netflix,8.5,80258,77.0,91.0,"['animation', 'short', 'comedy', 'fantasy', 'horror', 'sci-fi']",TV-MA,2019.0,15.0,https://www.imdb.com/title/tt9561862/
195,Justice League,Cartoon Network,8.5,38843,95.0,98.0,"['animation', 'action', 'adventure', 'drama', 'family', 'fantasy', 'mystery', 'thriller']",TV-PG,2001.0,22.0,https://www.imdb.com/title/tt0275137/
196,Adventure Time,Cartoon Network,8.5,70973,100.0,94.0,"['animation', 'action', 'adventure', 'comedy', 'family', 'fantasy', 'sci-fi']",TV-PG,2010.0,11.0,https://www.imdb.com/title/tt1305826/
197,Boardwalk Empire,HBO,8.5,165791,92.0,96.0,"['crime', 'drama', 'history']",TV-MA,2010.0,55.0,https://www.imdb.com/title/tt0979432/
198,Chef's Table,Netflix,8.5,11959,81.0,,['documentary'],TV-MA,2015.0,50.0,https://www.imdb.com/title/tt4295140/
199,Samurai Champloo,Cartoon Network,8.5,37335,88.0,93.0,"['animation', 'action', 'adventure', 'comedy', 'drama', 'thriller']",TV-MA,2004.0,23.0,https://www.imdb.com/title/tt0423731/
200,Flight of the Conchords,HBO,8.5,52964,94.0,98.0,"['comedy', 'music', 'musical']",TV-MA,2007.0,28.0,https://www.imdb.com/title/tt0863046/
201,Anne with an E,Netflix,8.5,24700,60.0,89.0,['drama'],TV-PG,2017.0,60.0,https://www.imdb.com/title/tt5421602/
202,"Yes, Prime Minister",BBC Two,8.5,8939,100.0,,['comedy'],TV-PG,1986.0,30.0,https://www.imdb.com/title/tt0086831/
203,Mystery Science Theater 3000,Netflix,8.5,22456,100.0,91.0,"['comedy', 'sci-fi']",TV-14,1988.0,92.0,https://www.imdb.com/title/tt0094517/
204,The Defiant Ones,HBO,8.5,10228,100.0,92.0,"['documentary', 'biography', 'crime', 'music']",unrated,2017.0,60.0,https://www.imdb.com/title/tt6958022/
205,Generation Kill,HBO,8.5,45440,86.0,100.0,"['drama', 'war']",TV-MA,2008.0,70.0,https://www.imdb.com/title/tt0995832/
206,The IT Crowd,Channel 4,8.5,125549,78.0,96.0,['comedy'],TV-14,2006.0,25.0,https://www.imdb.com/title/tt0487831/
207,Coupling,BBC,8.5,41520,100.0,,"['comedy', 'romance']",TV-14,2000.0,30.0,https://www.imdb.com/title/tt0237123/
208,Louie,FX,8.5,72556,94.0,95.0,"['comedy', 'drama']",TV-MA,2010.0,22.0,https://www.imdb.com/title/tt1492966/
209,The Night Of,HBO,8.5,108319,94.0,93.0,"['crime', 'drama', 'mystery']",TV-MA,2016.0,52.0,https://www.imdb.com/title/tt2401256/
210,Mr. Bean,HBO,8.5,95269,100.0,93.0,"['comedy', 'family']",TV-G,1990.0,35.0,https://www.imdb.com/title/tt0096657/
211,Big Little Lies,HBO,8.5,135667,89.0,89.0,"['crime', 'drama', 'mystery']",TV-MA,2017.0,60.0,https://www.imdb.com/title/tt3920596/
212,Impractical Jokers,TruTV,8.5,30811,96.0,,"['comedy', 'reality-tv']",TV-14,2011.0,30.0,https://www.imdb.com/title/tt2100976/
213,Alfred Hitchcock Presents,NBC,8.5,13963,91.0,,"['comedy', 'crime', 'drama', 'horror', 'mystery', 'thriller']",TV-14,1955.0,25.0,https://www.imdb.com/title/tt0047708/
214,Silicon Valley,HBO,8.5,116879,94.0,92.0,['comedy'],TV-MA,2014.0,28.0,https://www.imdb.com/title/tt2575988/
215,Endeavour,PBS,8.5,16316,86.0,94.0,"['crime', 'drama', 'mystery']",TV-14,2012.0,89.0,https://www.imdb.com/title/tt2701582/
216,Whose Line Is It Anyway?,CW,8.5,38823,100.0,,"['comedy', 'game-show']",TV-PG,1998.0,30.0,https://www.imdb.com/title/tt0163507/
217,Detectorists,Acorn,8.5,9448,100.0,99.0,['comedy'],unrated,2014.0,30.0,https://www.imdb.com/title/tt4082744/
218,Homicide: Life on the Street,NBC,8.5,11053,91.0,100.0,"['crime', 'drama', 'mystery', 'thriller']",TV-14,1993.0,60.0,https://www.imdb.com/title/tt0106028/
219,Horace and Pete,louisck.net,8.5,14035,96.0,93.0,"['comedy', 'drama']",TV-MA,2016.0,67.0,https://www.imdb.com/title/tt5425186/
220,Spartacus: Gods of the Arena,Starz,8.5,121267,57.0,93.0,"['action', 'adventure', 'biography', 'drama', 'history', 'romance']",TV-MA,2011.0,33.0,https://www.imdb.com/title/tt1758429/
221,Letterkenny,Hulu,8.5,10842,93.0,,['comedy'],TV-MA,2016.0,30.0,https://www.imdb.com/title/tt4647692/
222,The Punisher,Netflix,8.5,167369,63.0,82.0,"['action', 'adventure', 'crime', 'drama', 'sci-fi', 'thriller']",TV-MA,2017.0,53.0,https://www.imdb.com/title/tt5675620/
223,Hannibal,NBC,8.5,212958,92.0,94.0,"['crime', 'drama', 'horror', 'mystery', 'thriller']",TV-14,2013.0,44.0,https://www.imdb.com/title/tt2243973/
224,John Adams,HBO,8.5,26602,81.0,88.0,"['biography', 'drama', 'history']",TV-14,2008.0,71.0,https://www.imdb.com/title/tt0472027/
225,Black Books,Channel 4,8.5,51727,93.0,100.0,['comedy'],TV-PG,2000.0,25.0,https://www.imdb.com/title/tt0262150/
226,I'm Alan Partridge,BBC Two,8.5,17612,100.0,,['comedy'],TV-MA,1997.0,29.0,https://www.imdb.com/title/tt0129690/
227,The Family Man,Amazon Prime Video,8.5,17160,93.0,,"['action', 'comedy', 'drama']",unrated,2019.0,45.0,https://www.imdb.com/title/tt9544034/
228,Queer Eye,Netflix,8.5,13206,91.0,90.0,['reality-tv'],TV-14,2018.0,45.0,https://www.imdb.com/title/tt7259746/
229,Erased,Netflix,8.5,21474,100.0,94.0,"['animation', 'drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']",TV-14,2016.0,30.0,https://www.imdb.com/title/tt5249462/
230,Spartacus,Starz,8.5,213959,67.0,87.0,"['action', 'adventure', 'biography', 'drama', 'history', 'romance']",TV-MA,2010.0,55.0,https://www.imdb.com/title/tt1442449/
231,Pose,FX,8.5,14383,96.0,87.0,['drama'],TV-MA,2018.0,60.0,https://www.imdb.com/title/tt7562112/
232,The Dark Crystal: Age of Resistance,Netflix,8.5,18230,88.0,95.0,"['adventure', 'drama', 'family', 'fantasy', 'sci-fi']",TV-PG,2019.0,60.0,https://www.imdb.com/title/tt6905542/
233,My Hero Academia,Crunchyroll ,8.5,24780,100.0,88.0,"['animation', 'action', 'adventure', 'comedy', 'fantasy', 'sci-fi']",TV-14,2016.0,24.0,https://www.imdb.com/title/tt5626028/
234,Luther,BBC,8.4,113587,88.0,86.0,"['crime', 'drama', 'mystery', 'thriller']",TV-MA,2010.0,60.0,https://www.imdb.com/title/tt1474684/
235,The Knick,Cinemax,8.4,41494,92.0,97.0,"['drama', 'history']",TV-MA,2014.0,58.0,https://www.imdb.com/title/tt2937900/
236,The Venture Bros.,Cartoon Network,8.4,22678,92.0,97.0,"['animation', 'comedy', 'sci-fi']",TV-MA,2003.0,22.0,https://www.imdb.com/title/tt0417373/
237,Wentworth,Channel 5,8.4,15792,98.0,,"['crime', 'drama']",TV-MA,2013.0,45.0,https://www.imdb.com/title/tt2433738/
238,Samurai Jack,Cartoon Network,8.4,42659,93.0,95.0,"['animation', 'action', 'adventure', 'drama', 'fantasy', 'sci-fi', 'thriller']",TV-14,2001.0,25.0,https://www.imdb.com/title/tt0278238/
239,Generation War,ZDF,8.4,23639,100.0,,"['action', 'drama', 'history', 'war']",TV-MA,2013.0,14.0,https://www.imdb.com/title/tt1883092/
240,Mushi-Shi,Fuji TV,8.4,11125,100.0,100.0,"['animation', 'drama', 'fantasy', 'horror', 'mystery', 'thriller']",TV-14,2005.0,24.0,https://www.imdb.com/title/tt0807832/
241,Inside No. 9,BBC Two,8.4,10718,100.0,93.0,"['comedy', 'drama', 'horror']",TV-MA,2014.0,30.0,https://www.imdb.com/title/tt2674806/
242,X-Men: The Animated Series,FOX,8.4,36051,85.0,97.0,"['animation', 'action', 'family', 'sci-fi', 'thriller']",TV-Y7,1992.0,23.0,https://www.imdb.com/title/tt0103584/
243,Futurama,Comedy Central,8.4,205817,95.0,96.0,"['animation', 'comedy', 'sci-fi']",TV-14,1999.0,22.0,https://www.imdb.com/title/tt0149460/
244,Ezel,Netflix,8.4,23671,100.0,,"['crime', 'drama', 'thriller']",TV-14,2009.0,90.0,https://www.imdb.com/title/tt1534360/
245,American Crime Story,FX,8.4,74208,93.0,94.0,"['biography', 'crime', 'drama']",TV-MA,2016.0,42.0,https://www.imdb.com/title/tt2788432/
246,Delhi Crime,Netflix,8.4,8273,92.0,93.0,"['crime', 'drama']",unrated,2019.0,50.0,https://www.imdb.com/title/tt9398466/
